##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	SRR8283888.sra_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12246950
Sequences flagged as poor quality	0
Sequence length	101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.58747369753286	34.0	31.0	34.0	31.0	34.0
2	32.76259713642989	34.0	31.0	34.0	31.0	34.0
3	32.845017330845636	34.0	31.0	34.0	31.0	34.0
4	36.3186623608327	37.0	37.0	37.0	35.0	37.0
5	36.31764708764223	37.0	37.0	37.0	35.0	37.0
6	36.2480772763831	37.0	37.0	37.0	35.0	37.0
7	36.21721326534362	37.0	37.0	37.0	35.0	37.0
8	36.15668937980477	37.0	36.0	37.0	35.0	37.0
9	32.80450054911631	39.0	35.0	39.0	10.0	39.0
10-11	35.725858070784966	39.0	35.0	39.0	24.5	39.0
12-13	37.66547034159525	39.0	37.0	39.0	35.0	39.0
14-15	39.28277452753542	40.0	39.0	41.0	36.0	41.0
16-17	39.33817142227248	41.0	39.0	41.0	36.0	41.0
18-19	39.35235148343057	41.0	39.0	41.0	36.0	41.0
20-21	39.35404492547124	41.0	39.0	41.0	36.0	41.0
22-23	39.30968486031216	40.5	39.0	41.0	36.0	41.0
24-25	39.27735313690347	41.0	39.0	41.0	36.0	41.0
26-27	39.20016632712635	40.0	39.0	41.0	36.0	41.0
28-29	39.137958307986885	40.0	39.0	41.0	36.0	41.0
30-31	39.06864688759242	40.0	39.0	41.0	36.0	41.0
32-33	39.005167245722404	40.0	39.0	41.0	35.0	41.0
34-35	38.93603546189051	40.0	38.5	41.0	35.0	41.0
36-37	38.85456534075831	40.0	38.0	41.0	35.0	41.0
38-39	38.7784717827704	40.0	38.0	41.0	35.0	41.0
40-41	38.70699439452272	40.0	38.0	41.0	35.0	41.0
42-43	38.61739241198829	40.0	38.0	41.0	35.0	41.0
44-45	38.519396094537825	40.0	38.0	41.0	34.0	41.0
46-47	38.41337582010215	40.0	38.0	41.0	34.0	41.0
48-49	38.2749800970854	40.0	38.0	41.0	34.0	41.0
50-51	38.14725005001245	40.0	37.5	41.0	34.0	41.0
52-53	38.003154989609655	40.0	37.0	41.0	33.0	41.0
54-55	37.83151927622796	40.0	37.0	41.0	33.0	41.0
56-57	37.63001232960043	40.0	36.0	41.0	33.0	41.0
58-59	37.428603203246524	39.0	36.0	41.0	33.0	41.0
60-61	37.196501822902846	39.0	35.0	41.0	32.5	41.0
62-63	36.93741119217438	39.0	35.0	41.0	32.0	41.0
64-65	36.50722857527793	38.0	35.0	40.0	31.0	41.0
66-67	36.24893573501974	37.0	35.0	40.0	31.0	41.0
68-69	36.01764459722625	37.0	35.0	40.0	31.0	41.0
70-71	35.71406554284944	36.5	35.0	39.0	31.0	41.0
72-73	35.375829900505835	36.0	34.5	39.0	31.0	41.0
74-75	35.01890319630602	35.5	34.0	38.5	30.5	40.0
76-77	33.521869771657435	34.5	32.0	36.5	28.0	39.0
78-79	34.449046170679225	35.0	34.0	37.0	30.5	39.0
80-81	34.34546499332487	35.0	34.0	37.0	31.0	39.0
82-83	34.104326301650616	35.0	34.0	36.0	31.0	38.0
84-85	33.858095117559884	35.0	34.0	36.0	30.5	37.0
86-87	33.63738061313225	35.0	34.0	35.5	30.0	37.0
88-89	33.43500843067049	35.0	34.0	35.0	30.0	36.5
90-91	33.27352528588751	35.0	34.0	35.0	30.0	36.0
92-93	33.112766933808004	35.0	34.0	35.0	30.0	36.0
94-95	32.965442865366484	35.0	34.0	35.0	30.0	36.0
96-97	32.795225219340324	35.0	34.0	35.0	29.0	35.5
98-99	32.619500406223594	35.0	34.0	35.0	29.0	35.0
100-101	31.78306100702624	34.5	32.5	35.0	26.5	35.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.023291440733373747
1101	2	0.12040474881428054
1101	3	0.14487418121673556
1101	4	0.142203199915663
1101	5	0.16103166712566264
1101	6	0.16612769490402712
1101	7	0.16243502451838765
1101	8	0.19468989739292653
1101	9	5.525607042213835
1101	10-11	2.5036831764988037
1101	12-13	0.49911506404799866
1101	14-15	0.37161748992655674
1101	16-17	0.2717152428805747
1101	18-19	0.20446969968570272
1101	20-21	0.21034477099187399
1101	22-23	0.22191090490709087
1101	24-25	0.2418546605759886
1101	26-27	0.24990115879222685
1101	28-29	0.19133514516030203
1101	30-31	0.2202295230757585
1101	32-33	0.2287318084914105
1101	34-35	0.2235427148048359
1101	36-37	0.20991948358621926
1101	38-39	0.23010895801093767
1101	40-41	0.21928218442550929
1101	42-43	0.234380538408395
1101	44-45	0.2338722239322948
1101	46-47	0.1930073602778819
1101	48-49	0.21486633276339973
1101	50-51	0.18153499145572027
1101	52-53	0.20186278938446378
1101	54-55	0.2407795828327366
1101	56-57	0.23179392232401597
1101	58-59	0.1964379114289656
1101	60-61	0.15657973957235072
1101	62-63	0.16054843260191376
1101	64-65	0.3687112573975142
1101	66-67	0.3197779521787609
1101	68-69	0.1887009789740972
1101	70-71	0.19146203027440123
1101	72-73	0.12142996815857288
1101	74-75	0.1251518154722575
1101	76-77	0.06710209087662378
1101	78-79	0.25739799442410316
1101	80-81	0.2814483412992459
1101	82-83	0.274347207697204
1101	84-85	0.20320379630557284
1101	86-87	0.2192188165815594
1101	88-89	0.23410689587317535
1101	90-91	0.21792873720374217
1101	92-93	0.25593974090104155
1101	94-95	0.29490223127816506
1101	96-97	0.2511465966359836
1101	98-99	0.21570232715421156
1101	100-101	0.1404543617595415
1102	1	0.010123349239187007
1102	2	0.10326666992030908
1102	3	0.09156391389281993
1102	4	0.1055426837865383
1102	5	0.07621878195028131
1102	6	0.14567664557302606
1102	7	0.0941814144035007
1102	8	0.1567319870106516
1102	9	5.410491738079429
1102	10-11	2.451016987875356
1102	12-13	0.4244924692820007
1102	14-15	0.2798595006225497
1102	16-17	0.16949307132580316
1102	18-19	0.15047507581711272
1102	20-21	0.13529791876812425
1102	22-23	0.17824867141539613
1102	24-25	0.12752075412154085
1102	26-27	0.157312077876945
1102	28-29	0.1724895074242241
1102	30-31	0.22186005674114995
1102	32-33	0.1846782259120161
1102	34-35	0.2441459929620109
1102	36-37	0.22291471756223302
1102	38-39	0.18571640046287285
1102	40-41	0.19900796079106442
1102	42-43	0.1762342245855919
1102	44-45	0.2280799756603784
1102	46-47	0.20178913910303464
1102	48-49	0.1960633154305924
1102	50-51	0.20080203973165567
1102	52-53	0.20790518295131477
1102	54-55	0.26247831998080784
1102	56-57	0.24588066378556306
1102	58-59	0.2032926311248886
1102	60-61	0.23181767292337696
1102	62-63	0.20455093322121343
1102	64-65	0.3396291074768172
1102	66-67	0.25396071188592373
1102	68-69	0.21521930218364105
1102	70-71	0.21564421768021447
1102	72-73	0.1591760811882139
1102	74-75	0.1611824041252632
1102	76-77	0.15698888399951727
1102	78-79	0.29702826690665773
1102	80-81	0.29783871451517285
1102	82-83	0.2771281712951321
1102	84-85	0.30926527631022793
1102	86-87	0.3135954076303946
1102	88-89	0.32473577169866275
1102	90-91	0.3238635189416428
1102	92-93	0.2529238127914226
1102	94-95	0.28553145723703466
1102	96-97	0.25024293988040824
1102	98-99	0.1791246884312656
1102	100-101	0.06212808104351808
1103	1	0.05507372185072512
1103	2	0.13129598122846176
1103	3	0.17670813663287532
1103	4	0.13237223554192923
1103	5	0.1250614075460561
1103	6	0.13644434253247084
1103	7	0.13567228794128283
1103	8	0.14567222208182784
1103	9	5.389596686590274
1103	10-11	2.4201794238262195
1103	12-13	0.3777817462875177
1103	14-15	0.20969869043788236
1103	16-17	0.1961881778075778
1103	18-19	0.19277058490918364
1103	20-21	0.20481757573954695
1103	22-23	0.15359623689661817
1103	24-25	0.19140485450060396
1103	26-27	0.1887979591506337
1103	28-29	0.15022455409059177
1103	30-31	0.14314807627812343
1103	32-33	0.17795727596395494
1103	34-35	0.1813730763793373
1103	36-37	0.218706636857533
1103	38-39	0.18519583284044216
1103	40-41	0.22667387613749668
1103	42-43	0.22399291344181904
1103	44-45	0.22397496543187856
1103	46-47	0.17319512510004387
1103	48-49	0.1492058671342491
1103	50-51	0.1342177460973346
1103	52-53	0.2254399202101851
1103	54-55	0.20851427963433622
1103	56-57	0.17024475101681702
1103	58-59	0.12284315367342202
1103	60-61	0.17239007972849407
1103	62-63	0.21043460274353976
1103	64-65	0.3149686159259417
1103	66-67	0.2976838437179694
1103	68-69	0.18947697348434644
1103	70-71	0.17297652927074836
1103	72-73	0.21354086164174646
1103	74-75	0.13546172621911978
1103	76-77	-0.07687471238384802
1103	78-79	0.21847118387805153
1103	80-81	0.27805041347026105
1103	82-83	0.2585102355272326
1103	84-85	0.22669354882008008
1103	86-87	0.22903943555141382
1103	88-89	0.2245887836502405
1103	90-91	0.24768074801811935
1103	92-93	0.2066034668937533
1103	94-95	0.21000131782077602
1103	96-97	0.20526130360292427
1103	98-99	0.20561782536003648
1103	100-101	0.10795108182852786
1104	1	0.09441188200045758
1104	2	0.08949178819687376
1104	3	0.13087712640677296
1104	4	0.10033341512543359
1104	5	0.10567071588675958
1104	6	0.13690670249642523
1104	7	0.12957797881109911
1104	8	0.16306218074962686
1104	9	5.417875906507483
1104	10-11	2.4317454335188415
1104	12-13	0.41762785787527434
1104	14-15	0.2612252766220351
1104	16-17	0.18183625993302144
1104	18-19	0.13527014742551557
1104	20-21	0.13435023101730081
1104	22-23	0.11385841636718652
1104	24-25	0.14898770942875927
1104	26-27	0.12978933942210347
1104	28-29	0.1471014024279782
1104	30-31	0.16635039382663308
1104	32-33	0.13075396462986788
1104	34-35	0.15566319383482607
1104	36-37	0.17713745701965422
1104	38-39	0.18813722920688036
1104	40-41	0.22080538727730925
1104	42-43	0.25018959126166607
1104	44-45	0.23351941388517616
1104	46-47	0.2652900836373604
1104	48-49	0.2015445966798879
1104	50-51	0.2072369243227783
1104	52-53	0.22063285785565512
1104	54-55	0.2904741585039403
1104	56-57	0.20992031295096325
1104	58-59	0.2737716253997249
1104	60-61	0.23079766542610258
1104	62-63	0.27571752294258545
1104	64-65	0.35837589428816585
1104	66-67	0.3703777530091159
1104	68-69	0.24629706676866192
1104	70-71	0.2878152220673016
1104	72-73	0.29741488136286165
1104	74-75	0.2569376534006693
1104	76-77	0.2695205556553546
1104	78-79	0.30228372521511915
1104	80-81	0.2885055041269595
1104	82-83	0.30588664068201865
1104	84-85	0.2472453757197428
1104	86-87	0.30545169591292876
1104	88-89	0.29636243944012364
1104	90-91	0.31076767888285417
1104	92-93	0.2445327464665894
1104	94-95	0.24158804540090273
1104	96-97	0.1898930644781771
1104	98-99	0.20334658521721138
1104	100-101	0.07292538664561476
1105	1	-0.0115988356467156
1105	2	0.03424000535640204
1105	3	0.09396435469685827
1105	4	0.07394673006907482
1105	5	0.06303881538074307
1105	6	0.06280568512980977
1105	7	0.06378559737528633
1105	8	0.1049760884815143
1105	9	5.388254308714075
1105	10-11	2.391261105266871
1105	12-13	0.3696467096392695
1105	14-15	0.23627571104004375
1105	16-17	0.11561906091441188
1105	18-19	0.04543633503188005
1105	20-21	0.10270023523284522
1105	22-23	0.12281724582933862
1105	24-25	0.13275562555193687
1105	26-27	0.13506863641276823
1105	28-29	0.11496334864906288
1105	30-31	0.0789215130013119
1105	32-33	0.06465690107359023
1105	34-35	0.10162536238782138
1105	36-37	0.15065093731993784
1105	38-39	0.1487172593787065
1105	40-41	0.10365143880271432
1105	42-43	0.12346279124210469
1105	44-45	0.16323947462545618
1105	46-47	0.18539554209178988
1105	48-49	0.16172871751949458
1105	50-51	0.14474204921356915
1105	52-53	0.11596239536223862
1105	54-55	0.2041742641101152
1105	56-57	0.17859621794289637
1105	58-59	0.1844035755122988
1105	60-61	0.20115561504541546
1105	62-63	0.20531176052223543
1105	64-65	0.35958036016190675
1105	66-67	0.23459764413745887
1105	68-69	0.18453374384851173
1105	70-71	0.14921106981048382
1105	72-73	0.15704738725100498
1105	74-75	0.20622330957047552
1105	76-77	0.07915575796056373
1105	78-79	0.26502794627153037
1105	80-81	0.2990345285814797
1105	82-83	0.2881896492749547
1105	84-85	0.25939406802395126
1105	86-87	0.30135091602758024
1105	88-89	0.30459684259698605
1105	90-91	0.3243101608073573
1105	92-93	0.30695871153348975
1105	94-95	0.3144089187073078
1105	96-97	0.2517643813954109
1105	98-99	0.24006276275554939
1105	100-101	0.24608298180929467
1106	1	-0.06423260544844567
1106	2	-0.012262321099385076
1106	3	0.06870294530148158
1106	4	0.051753316193440924
1106	5	0.039388359139081786
1106	6	0.05600948492305946
1106	7	0.05961511396422736
1106	8	0.11662897695941865
1106	9	5.334270467407627
1106	10-11	2.3225294526483538
1106	12-13	0.3617262699022916
1106	14-15	0.17191498884395173
1106	16-17	0.05997332055504501
1106	18-19	0.04054188848270712
1106	20-21	-0.007031076060222574
1106	22-23	0.045039292231948025
1106	24-25	0.008420172797883652
1106	26-27	0.04207246470811299
1106	28-29	0.03186629122830453
1106	30-31	0.014934995594600764
1106	32-33	0.06055098248921098
1106	34-35	0.10125548791361894
1106	36-37	0.06987195799337087
1106	38-39	0.09606197601913635
1106	40-41	0.0859141745718972
1106	42-43	0.08497880760113219
1106	44-45	0.1462593427118435
1106	46-47	0.15695327639663503
1106	48-49	0.09380528113540265
1106	50-51	0.07691772011447284
1106	52-53	0.05099055010536091
1106	54-55	0.10702597229109045
1106	56-57	0.11699573524973772
1106	58-59	0.1717495871757464
1106	60-61	0.18254519365440558
1106	62-63	0.1640257972806154
1106	64-65	0.32696250093875534
1106	66-67	0.2963517408795795
1106	68-69	0.16177374187458327
1106	70-71	0.2212756331741801
1106	72-73	0.1877498393846153
1106	74-75	0.15931189082196795
1106	76-77	0.06274014042460152
1106	78-79	0.19177261869512563
1106	80-81	0.20831600604443423
1106	82-83	0.21236243192809923
1106	84-85	0.19679283051718244
1106	86-87	0.20373691002583172
1106	88-89	0.23621219141740113
1106	90-91	0.14448772636433915
1106	92-93	0.1594931235475201
1106	94-95	0.1616783955177965
1106	96-97	0.16280005055687496
1106	98-99	0.19058063774105705
1106	100-101	0.15080916783794152
1107	1	0.010509017485205163
1107	2	0.020318826892768982
1107	3	0.07016104894131558
1107	4	0.03183475185046092
1107	5	0.0732992207782317
1107	6	0.06688438839181288
1107	7	0.061520702116183656
1107	8	0.1002351284711267
1107	9	5.332927449404238
1107	10-11	2.3257514500909124
1107	12-13	0.33723522405247763
1107	14-15	0.13405437096562167
1107	16-17	0.01573688359322034
1107	18-19	-0.0035839818606291374
1107	20-21	0.04949724396233535
1107	22-23	0.04110808464159277
1107	24-25	0.04663045502280028
1107	26-27	0.04587218430059181
1107	28-29	0.059341785795105295
1107	30-31	0.05305948867777488
1107	32-33	0.05997402499520632
1107	34-35	0.019215234208267873
1107	36-37	-0.02697114795857658
1107	38-39	0.007971466147829176
1107	40-41	0.06413491033220708
1107	42-43	-0.008518722012233582
1107	44-45	0.021461437493591973
1107	46-47	0.0601926154474981
1107	48-49	0.08103453641614777
1107	50-51	0.138220266095054
1107	52-53	0.1140032998860363
1107	54-55	0.11684144336202706
1107	56-57	0.12363353266633936
1107	58-59	0.10619914463392632
1107	60-61	0.13251655384487293
1107	62-63	0.13538798307440203
1107	64-65	0.28928080269692913
1107	66-67	0.25149733395657137
1107	68-69	0.14329272078839494
1107	70-71	0.172983976530368
1107	72-73	0.13948286832757617
1107	74-75	0.11666053304347912
1107	76-77	0.04132275205348179
1107	78-79	0.17177402802488473
1107	80-81	0.18771685856422238
1107	82-83	0.19771118830321655
1107	84-85	0.20052055102850375
1107	86-87	0.2221309244280505
1107	88-89	0.2562971094421229
1107	90-91	0.24133882018098518
1107	92-93	0.22138471383628655
1107	94-95	0.20014070242191195
1107	96-97	0.14756674954409021
1107	98-99	0.2051729405073104
1107	100-101	0.25715787543917656
1108	1	-0.12365084799738213
1108	2	-0.021596510761384025
1108	3	-0.02066378937895763
1108	4	0.0052871798906153344
1108	5	-0.008865438532410508
1108	6	0.018218803630716707
1108	7	-0.02132388678374042
1108	8	0.06382713300418175
1108	9	5.273692213189484
1108	10-11	2.241917876416643
1108	12-13	0.22505904265145205
1108	14-15	0.07673705682854148
1108	16-17	-0.006780137587966806
1108	18-19	-0.012769756406100896
1108	20-21	-7.395383748800555E-4
1108	22-23	0.0029675240511650713
1108	24-25	-0.07900606831064039
1108	26-27	-0.016333757433955043
1108	28-29	-0.007990185199226119
1108	30-31	0.007150193295274221
1108	32-33	-0.030582621638309604
1108	34-35	0.01600249152880906
1108	36-37	0.03968840842790655
1108	38-39	0.039092162363907335
1108	40-41	0.04985026493976363
