##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	SRR8283891.sra_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12185687
Sequences flagged as poor quality	0
Sequence length	101
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.72697657505892	34.0	31.0	34.0	30.0	34.0
2	31.906279063297784	34.0	31.0	34.0	30.0	34.0
3	32.0034885189485	34.0	31.0	34.0	30.0	34.0
4	35.49068304478853	37.0	35.0	37.0	33.0	37.0
5	35.49885845582609	37.0	35.0	37.0	35.0	37.0
6	35.50079613894563	37.0	35.0	37.0	35.0	37.0
7	35.48159090250718	37.0	35.0	37.0	33.0	37.0
8	35.45710422399656	37.0	35.0	37.0	33.0	37.0
9	37.108943057539555	39.0	38.0	39.0	34.0	39.0
10-11	37.094286600336936	39.0	38.0	39.0	34.0	39.0
12-13	37.046411786221	39.0	38.0	39.0	34.0	39.0
14-15	38.44324370058085	40.0	39.0	41.0	34.0	41.0
16-17	38.385939873558215	40.0	38.5	41.0	34.0	41.0
18-19	38.36103007569454	40.0	38.5	41.0	34.0	41.0
20-21	38.34564083256036	40.0	39.0	41.0	34.0	41.0
22-23	38.249112052525234	40.0	39.0	41.0	34.0	41.0
24-25	38.215377926578945	40.0	38.0	41.0	34.0	41.0
26-27	38.14893152926052	40.0	38.0	41.0	34.0	41.0
28-29	38.08338274239278	40.0	38.0	41.0	34.0	41.0
30-31	38.00564387547456	40.0	38.0	41.0	34.0	41.0
32-33	37.920613667493676	40.0	38.0	41.0	33.0	41.0
34-35	37.83689060780898	40.0	38.0	41.0	33.0	41.0
36-37	37.74214264653277	40.0	38.0	41.0	33.0	41.0
38-39	37.63904378144622	40.0	38.0	41.0	33.0	41.0
40-41	37.533790954912924	40.0	38.0	41.0	33.0	41.0
42-43	37.3928355044734	40.0	38.0	41.0	32.0	41.0
44-45	37.28699842692497	40.0	37.0	41.0	32.0	41.0
46-47	37.142611901979755	40.0	37.0	41.0	32.0	41.0
48-49	37.00776825303325	40.0	37.0	41.0	31.0	41.0
50-51	35.89835743360223	38.5	35.0	40.0	29.5	40.5
52-53	36.15723138958025	39.0	35.5	40.0	30.5	40.5
54-55	36.59920729130824	39.5	35.5	41.0	31.0	41.0
56-57	36.50296922118548	39.0	35.0	41.0	31.0	41.0
58-59	36.30638182319963	39.0	35.0	41.0	31.0	41.0
60-61	36.04773760396111	39.0	35.0	41.0	30.5	41.0
62-63	35.772871361294605	38.0	35.0	41.0	30.0	41.0
64-65	35.49435436016041	37.5	35.0	40.0	30.0	41.0
66-67	35.170641302373845	37.0	35.0	40.0	29.0	41.0
68-69	34.854624610003526	36.5	35.0	39.5	29.0	41.0
70-71	34.52675142566849	36.0	34.0	39.0	29.0	41.0
72-73	34.19037970530509	35.5	34.0	39.0	29.0	41.0
74-75	33.85540839839395	35.0	34.0	37.5	29.0	40.0
76-77	33.52390640757473	35.0	34.0	37.0	28.0	39.5
78-79	33.2063441314388	35.0	34.0	37.0	28.0	39.0
80-81	32.917941926458475	35.0	34.0	36.0	27.0	39.0
82-83	32.64631534520787	35.0	34.0	36.0	27.0	37.0
84-85	32.3955168469369	35.0	33.0	35.5	26.5	37.0
86-87	32.17315560460399	35.0	33.0	35.0	26.0	37.0
88-89	31.970146533387897	35.0	33.0	35.0	26.0	36.0
90-91	31.786545108207687	35.0	33.0	35.0	25.0	36.0
92-93	31.615328458707335	35.0	33.0	35.0	25.0	36.0
94-95	31.432790494290558	35.0	33.0	35.0	24.5	36.0
96-97	31.23577780226917	35.0	33.0	35.0	24.0	35.0
98-99	31.010004565191934	35.0	33.0	35.0	23.0	35.0
100-101	29.881022957507444	34.5	31.0	35.0	10.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.09954879839410324
1101	2	0.1981857828699134
1101	3	0.2263954676381985
1101	4	0.24040922116623165
1101	5	0.19415968885766688
1101	6	0.21312555630823482
1101	7	0.16390586556354236
1101	8	0.14691375966727094
1101	9	0.2465335192338074
1101	10-11	0.26715667011890787
1101	12-13	0.2325298243664946
1101	14-15	0.2930348240394238
1101	16-17	0.3498881896398558
1101	18-19	0.3533340968251224
1101	20-21	0.3197580927369543
1101	22-23	0.40541582111513463
1101	24-25	0.3311198887083293
1101	26-27	0.304933334864792
1101	28-29	0.30108368378525796
1101	30-31	0.2832203792687338
1101	32-33	0.3201249901659011
1101	34-35	0.30267885803770866
1101	36-37	0.32824047352999486
1101	38-39	0.2485600472755536
1101	40-41	0.3538711751461179
1101	42-43	0.344615088358708
1101	44-45	0.3627906353950152
1101	46-47	0.312274747112987
1101	48-49	0.3551506236924027
1101	50-51	0.1775327196333052
1101	52-53	0.30453580682907955
1101	54-55	0.4150457647922394
1101	56-57	0.336948648843844
1101	58-59	0.3425695203874639
1101	60-61	0.36838460798789185
1101	62-63	0.32761572626364455
1101	64-65	0.3148828036888034
1101	66-67	0.34958440113472733
1101	68-69	0.3352655538063729
1101	70-71	0.27310475361960584
1101	72-73	0.25484046528741544
1101	74-75	0.33385676878245363
1101	76-77	0.3065710229710845
1101	78-79	0.30861057129953906
1101	80-81	0.3102286402780692
1101	82-83	0.3162907142343485
1101	84-85	0.37960782197363585
1101	86-87	0.41233078059918427
1101	88-89	0.35400392069247033
1101	90-91	0.3924389642962076
1101	92-93	0.39165397973141225
1101	94-95	0.4123497350611274
1101	96-97	0.36123576392028056
1101	98-99	0.3348562800356518
1101	100-101	0.2068877146564354
1102	1	0.057915523478435205
1102	2	0.1455242093118443
1102	3	0.22383394811994606
1102	4	0.24204748751319016
1102	5	0.21583209564196437
1102	6	0.19204580118098136
1102	7	0.19562415727936155
1102	8	0.21684724212542505
1102	9	0.3147770772634928
1102	10-11	0.25422275988454146
1102	12-13	0.3100365448932152
1102	14-15	0.3713618771121716
1102	16-17	0.3782817738643445
1102	18-19	0.39667717513130185
1102	20-21	0.3688462888950994
1102	22-23	0.4117729081777597
1102	24-25	0.41800650640713855
1102	26-27	0.42389637181899076
1102	28-29	0.3854051668357883
1102	30-31	0.43197666395962386
1102	32-33	0.3769870173249714
1102	34-35	0.4076125748413517
1102	36-37	0.39852082133442224
1102	38-39	0.39918096074320886
1102	40-41	0.37458384146442114
1102	42-43	0.29247008285648235
1102	44-45	0.3742971179185872
1102	46-47	0.4231943621875516
1102	48-49	0.3920221556662753
1102	50-51	0.1989790957291433
1102	52-53	0.30792164829567525
1102	54-55	0.3956618501474125
1102	56-57	0.4222637865330938
1102	58-59	0.5023997606864299
1102	60-61	0.5092337441887196
1102	62-63	0.4509745359144546
1102	64-65	0.4360547914157351
1102	66-67	0.42467732911529055
1102	68-69	0.43761833146388085
1102	70-71	0.42845360218368
1102	72-73	0.376969105733977
1102	74-75	0.4055289416465797
1102	76-77	0.40589380704311395
1102	78-79	0.38662565141039096
1102	80-81	0.38610799088503
1102	82-83	0.3973654319968958
1102	84-85	0.3897816910142353
1102	86-87	0.3988678790209761
1102	88-89	0.3974512423361958
1102	90-91	0.39186185344518165
1102	92-93	0.39445473579544554
1102	94-95	0.4507034448267504
1102	96-97	0.31940014379746273
1102	98-99	0.25898276892695193
1102	100-101	0.0147580313511817
1103	1	0.07988660425839456
1103	2	0.171032398021282
1103	3	0.2239637660303586
1103	4	0.22822936268161698
1103	5	0.23086406176042829
1103	6	0.1659171224641156
1103	7	0.18075658173312092
1103	8	0.21283841213774934
1103	9	0.27836165199682483
1103	10-11	0.3017425548637931
1103	12-13	0.29782156899810985
1103	14-15	0.29909757998757414
1103	16-17	0.3199069786982349
1103	18-19	0.3343263858905914
1103	20-21	0.3060626150311947
1103	22-23	0.328330746029458
1103	24-25	0.3708126034015464
1103	26-27	0.34419356767177334
1103	28-29	0.23063701447389917
1103	30-31	0.3394305582514434
1103	32-33	0.28099351812158346
1103	34-35	0.35311384982998817
1103	36-37	0.3470352214770287
1103	38-39	0.3719909540603723
1103	40-41	0.2772943706132125
1103	42-43	0.326783863604696
1103	44-45	0.2574556097535776
1103	46-47	0.2888489101217928
1103	48-49	0.3715432382742776
1103	50-51	0.22529041305347164
1103	52-53	0.34492381464625765
1103	54-55	0.43653159768461336
1103	56-57	0.4172190346164939
1103	58-59	0.42747097854374516
1103	60-61	0.40510048913893115
1103	62-63	0.3523000566377874
1103	64-65	0.3300808221142333
1103	66-67	0.4131213357475687
1103	68-69	0.3913716504089777
1103	70-71	0.41408749254671307
1103	72-73	0.3948084166277894
1103	74-75	0.39561962549504415
1103	76-77	0.40993580568544985
1103	78-79	0.3600597259093732
1103	80-81	0.3424109421932897
1103	82-83	0.3153272201972257
1103	84-85	0.30087301887996887
1103	86-87	0.3141242671622493
1103	88-89	0.3231989765790715
1103	90-91	0.371445345388711
1103	92-93	0.3911080980740529
1103	94-95	0.42886633716914346
1103	96-97	0.3659331368092005
1103	98-99	0.41585530078077326
1103	100-101	0.08198928338186917
1104	1	0.08843306947319007
1104	2	0.17443029548562095
1104	3	0.24393133745678597
1104	4	0.19557012841159604
1104	5	0.22770870444280433
1104	6	0.22921673776598794
1104	7	0.21076177786539319
