##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	SRR8283890.sra_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	13467080
Sequences flagged as poor quality	0
Sequence length	101
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.532411851715445	34.0	31.0	34.0	31.0	34.0
2	32.70398022436935	34.0	31.0	34.0	31.0	34.0
3	32.78683441399323	34.0	31.0	34.0	31.0	34.0
4	36.27459508668546	37.0	37.0	37.0	35.0	37.0
5	36.27314057687338	37.0	37.0	37.0	35.0	37.0
6	36.202060357553385	37.0	37.0	37.0	35.0	37.0
7	36.17323168793829	37.0	36.0	37.0	35.0	37.0
8	36.10707257995052	37.0	35.0	37.0	35.0	37.0
9	32.763234494782836	39.0	35.0	39.0	10.0	39.0
10-11	35.67068169194807	39.0	35.0	39.0	24.5	39.0
12-13	37.60227410099294	39.0	37.0	39.0	35.0	39.0
14-15	39.20369471333058	40.0	39.0	41.0	36.0	41.0
16-17	39.258650910219586	40.0	39.0	41.0	36.0	41.0
18-19	39.27265847533393	40.0	39.0	41.0	36.0	41.0
20-21	39.273675659459954	40.0	39.0	41.0	36.0	41.0
22-23	39.227901779747356	40.0	39.0	41.0	36.0	41.0
24-25	39.19543130359365	40.0	39.0	41.0	36.0	41.0
26-27	39.11347678932627	40.0	39.0	41.0	36.0	41.0
28-29	39.04830783659115	40.0	39.0	41.0	36.0	41.0
30-31	38.97584071677008	40.0	39.0	41.0	35.0	41.0
32-33	38.909288539163654	40.0	38.5	41.0	35.0	41.0
34-35	38.83914824148962	40.0	38.0	41.0	35.0	41.0
36-37	38.75707777781078	40.0	38.0	41.0	35.0	41.0
38-39	38.67902945553156	40.0	38.0	41.0	35.0	41.0
40-41	38.60728001170261	40.0	38.0	41.0	35.0	41.0
42-43	38.51882843199862	40.0	38.0	41.0	34.0	41.0
44-45	38.421066816266034	40.0	38.0	41.0	34.0	41.0
46-47	38.31652017363824	40.0	38.0	41.0	34.0	41.0
48-49	38.182369637664586	40.0	38.0	41.0	34.0	41.0
50-51	38.05412639562548	40.0	37.0	41.0	33.0	41.0
52-53	37.91152926246818	40.0	37.0	41.0	33.0	41.0
54-55	37.74289916596619	40.0	37.0	41.0	33.0	41.0
56-57	37.5434670322	39.5	36.0	41.0	33.0	41.0
58-59	37.34608812749312	39.0	36.0	41.0	32.5	41.0
60-61	37.11841282594297	39.0	35.0	41.0	32.0	41.0
62-63	36.86497306765832	39.0	35.0	41.0	32.0	41.0
64-65	36.441023740855485	38.0	35.0	40.0	31.0	41.0
66-67	36.18292944721499	37.5	35.0	40.0	31.0	41.0
68-69	35.95596974251285	37.0	35.0	40.0	31.0	41.0
70-71	35.65543751874942	36.5	35.0	39.0	31.0	41.0
72-73	35.31573678184135	36.0	34.0	39.0	30.5	41.0
74-75	34.956453292027675	35.5	34.0	39.0	30.0	40.0
76-77	33.4423431063007	34.5	32.0	36.5	28.0	39.0
78-79	34.382116984528196	35.0	34.0	37.0	30.0	39.0
80-81	34.27780153529942	35.0	34.0	37.0	30.0	39.0
82-83	34.031739879766064	35.0	34.0	36.0	30.0	38.5
84-85	33.77615830603219	35.0	34.0	36.0	30.0	37.0
86-87	33.544366002132605	35.0	34.0	36.0	30.0	37.0
88-89	33.33292191031761	35.0	34.0	35.0	30.0	36.5
90-91	33.163152776993975	35.0	34.0	35.0	30.0	36.0
92-93	32.99254682529546	35.0	34.0	35.0	29.0	36.0
94-95	32.83794226365329	35.0	34.0	35.0	29.0	36.0
96-97	32.65727076693686	35.0	34.0	35.0	29.0	35.5
98-99	32.468587659685696	35.0	34.0	35.0	29.0	35.0
100-101	31.61558570974554	34.5	32.5	35.0	26.5	35.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.07165659291780457
1101	2	0.13695848096188
1101	3	0.127602860027892
1101	4	0.11193018013906908
1101	5	0.13803255637732548
1101	6	0.16179216175016364
1101	7	0.16157757457417432
1101	8	0.20064015584552664
1101	9	5.498076123242043
1101	10-11	2.4755106999785355
1101	12-13	0.47781840420824295
1101	14-15	0.3390131809542609
1101	16-17	0.2466942806827177
1101	18-19	0.14669368602852018
1101	20-21	0.1903861013317112
1101	22-23	0.2110173412054479
1101	24-25	0.21813963957257698
1101	26-27	0.2466676335263429
1101	28-29	0.18480841201759546
1101	30-31	0.23026611834382749
1101	32-33	0.2003439102323199
1101	34-35	0.22330876669568767
1101	36-37	0.21484045556483977
1101	38-39	0.17795455644530023
1101	40-41	0.2246056368141538
1101	42-43	0.2119360556986436
1101	44-45	0.23642041851130813
1101	46-47	0.19845929339088997
1101	48-49	0.17713240281954512
1101	50-51	0.18900292888046266
1101	52-53	0.23035898521174403
1101	54-55	0.25505124401934154
1101	56-57	0.2725209630640322
1101	58-59	0.16220643850052596
1101	60-61	0.17155190092543648
1101	62-63	0.14960203077139056
1101	64-65	0.35203718461256983
1101	66-67	0.31745850312108104
1101	68-69	0.18009780631459194
1101	70-71	0.17484936277791263
1101	72-73	0.1610642474754158
1101	74-75	0.1310966773729163
1101	76-77	0.05088872863102978
1101	78-79	0.20730937380908898
1101	80-81	0.283085055742319
1101	82-83	0.2643319719689643
1101	84-85	0.1710924587874061
1101	86-87	0.19810199777842996
1101	88-89	0.22258128560744694
1101	90-91	0.19834734691426092
1101	92-93	0.1529980227305785
1101	94-95	0.16163096804374533
1101	96-97	0.10742330026165803
1101	98-99	0.06306247163663414
1101	100-101	-0.012154369555471334
1102	1	0.01818615156518888
1102	2	0.1291775311581489
1102	3	0.13131371432941563
1102	4	0.13257887109577382
1102	5	0.1226381648868653
1102	6	0.15428097132107155
1102	7	0.10612610577749138
1102	8	0.17208157530484414
1102	9	5.423281442836689
1102	10-11	2.4667582263630834
1102	12-13	0.4961481431222339
1102	14-15	0.27995965122332933
1102	16-17	0.19426007938753287
1102	18-19	0.17547428770443219
1102	20-21	0.1841410007285731
1102	22-23	0.22947324839924477
1102	24-25	0.19654200055698112
1102	26-27	0.24206030490729802
1102	28-29	0.2500490529822983
1102	30-31	0.23549426990113176
1102	32-33	0.21596318332017006
1102	34-35	0.26185725131042403
1102	36-37	0.2806524635824559
1102	38-39	0.2587992785696045
1102	40-41	0.22704127244634975
1102	42-43	0.2289735226616756
1102	44-45	0.3222832877360702
1102	46-47	0.25908249147080653
1102	48-49	0.20181622047063996
1102	50-51	0.2477300990391953
1102	52-53	0.2482901755214968
1102	54-55	0.20349235783349684
1102	56-57	0.22669218479999387
1102	58-59	0.21569132587140416
1102	60-61	0.27652141195721214
1102	62-63	0.2440505087564233
1102	64-65	0.35900783665395863
1102	66-67	0.2743161025807197
1102	68-69	0.23331097715251303
1102	70-71	0.18378925141094982
1102	72-73	0.17245877533738962
1102	74-75	0.1406337935529507
1102	76-77	0.12496639792535547
1102	78-79	0.31459504485353307
1102	80-81	0.2720352067281908
1102	82-83	0.23291650826121924
1102	84-85	0.23847888434239195
1102	86-87	0.28295840175649545
1102	88-89	0.28510462437830597
1102	90-91	0.310715258572678
1102	92-93	0.2503184115738648
1102	94-95	0.25340431170065614
1102	96-97	0.23517201963684897
1102	98-99	0.18490788826472482
1102	100-101	0.009314733429320654
1103	1	0.06750171879432543
1103	2	0.09991874888091701
1103	3	0.13995884272397063
1103	4	0.13026483839990277
1103	5	0.12029790400108453
1103	6	0.12464572112840244
1103	7	0.11641788176281409
1103	8	0.13011027612644455
1103	9	5.390099632325786
1103	10-11	2.4073586994622787
1103	12-13	0.39814086207675103
1103	14-15	0.17323055326563264
1103	16-17	0.12845360023278118
1103	18-19	0.1357895335790431
1103	20-21	0.17772805045326834
1103	22-23	0.1485428767590804
